,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
2,1,2,1,1,1,1,1,1,1,1,1,1,1,1
3,1,2,1,1,1,1,1,1,1,1,1,1,1,1
4,1,2,1,1,1,1,1,1,1,1,1,1,1,1
5,1,2,1,1,1,1,1,1,1,1,1,2,1,1
6,1,2,1,1,1,1,1,1,1,1,1,2,1,1
7,1,2,1,1,1,1,1,1,1,1,1,2,1,1
8,1,2,2,1,1,1,1,1,1,1,1,2,1,1
9,1,2,2,1,100,1,1,1,1,1,1,2,1,1
10,1,2,2,1,100,1,1,1,1,1,1,2,1,1
11,1,2,2,1,100,1,1,1,1,1,1,2,1,1
12,1,2,2,1,100,1,1,100,1,1,1,2,1,1
13,1,2,2,1,100,1,1,100,1,1,1,2,1,1
14,1,2,2,1,100,1,1,100,1,1,1,2,100,1
15,1,2,2,1,100,1,1,100,1,1,1,2,100,1
16,1,2,2,1,100,1,1,100,1,1,1,2,100,1
17,1,2,2,1,100,1,1,100,1,1,1,2,100,1
18,1,2,2,2,100,1,1,100,1,1,1,2,100,1
19,1,2,2,2,100,1,1,100,1,1,1,2,100,1
20,1,2,2,2,100,1,1,100,1,1,1,2,100,1
21,1,2,2,2,100,100,1,100,1,1,1,2,100,1
22,1,2,2,2,100,100,1,100,1,1,1,2,100,1
23,1,2,2,2,100,100,1,100,1,1,2,2,100,1
24,1,2,2,2,100,100,1,100,1,1,2,2,100,2
25,1,2,2,2,100,100,1,100,1,1,2,2,100,2
26,1,2,2,2,100,100,2,100,1,1,2,2,100,2
27,1,2,2,2,100,100,2,100,1,1,2,2,100,2
28,1,2,2,2,100,100,2,100,1,1,2,2,100,2
29,1,2,2,2,100,100,2,100,1,1,2,2,100,2
30,1,2,2,2,100,100,2,100,2,1,2,2,100,2
31,1,2,100,2,100,100,2,100,2,1,2,2,100,2
32,100,2,100,2,100,100,2,100,2,1,2,2,100,2
33,100,2,100,2,100,100,2,100,2,1,2,2,100,2
34,100,2,100,2,100,100,2,100,2,1,2,2,100,2
35,100,2,100,2,100,100,2,100,2,2,2,2,100,2
36,100,2,100,2,100,100,2,100,2,2,2,2,100,2
37,100,2,100,2,100,100,2,100,3,2,2,2,100,2
38,100,2,100,2,100,100,2,100,3,2,2,2,100,2
39,100,2,100,3,100,100,2,100,3,2,2,2,100,2
40,100,2,100,3,100,100,2,100,3,2,3,2,100,2
41,100,2,100,3,100,100,2,100,3,2,3,2,100,2
42,100,2,100,3,100,100,2,100,3,2,4,2,100,2
43,100,2,100,3,100,100,2,100,3,2,4,2,100,2
44,100,2,100,3,100,100,2,100,4,2,4,2,100,2
45,100,100,100,3,100,100,2,100,4,2,4,2,100,2
46,100,100,100,3,100,100,2,100,4,2,4,2,100,2
47,100,100,100,3,100,100,2,100,4,2,4,2,100,2
48,100,100,100,4,100,100,2,100,4,2,4,2,100,2
49,100,100,100,4,100,100,2,100,4,2,4,2,100,2
50,100,100,100,4,100,100,2,100,4,2,5,2,100,2
51,100,100,100,4,100,100,2,100,4,2,5,2,100,2
52,100,100,100,4,100,100,2,100,5,2,5,2,100,2
53,100,100,100,4,100,100,2,100,5,2,5,2,100,2
54,100,100,100,4,100,100,3,100,5,2,5,2,100,2
55,100,100,100,5,100,100,3,100,5,2,5,2,100,2
56,100,100,100,6,100,100,3,100,5,2,5,2,100,2
57,100,100,100,6,100,100,3,100,5,2,5,2,100,3
58,100,100,100,6,100,100,3,100,5,2,5,2,100,3
59,100,100,100,6,100,100,3,100,5,2,5,2,100,3
60,100,100,100,6,100,100,100,100,5,2,5,2,100,3
61,100,100,100,6,100,100,100,100,5,2,5,2,100,3
62,100,100,100,6,100,100,100,100,5,2,6,2,100,3
63,100,100,100,6,100,100,100,100,6,2,6,2,100,3
64,100,100,100,6,100,100,100,100,6,2,6,2,100,3
65,100,100,100,6,100,100,100,100,6,2,6,100,100,3
66,100,100,100,6,100,100,100,100,6,2,6,100,100,3
67,100,100,100,6,100,100,100,100,7,2,6,100,100,3
68,100,100,100,6,100,100,100,100,7,2,6,100,100,3
69,100,100,100,6,100,100,100,100,8,2,6,100,100,3
70,100,100,100,6,100,100,100,100,8,2,6,100,100,3
71,100,100,100,7,100,100,100,100,8,2,6,100,100,3
72,100,100,100,7,100,100,100,100,8,2,6,100,100,3
73,100,100,100,7,100,100,100,100,8,2,7,100,100,3
74,100,100,100,7,100,100,100,100,8,2,7,100,100,3
75,100,100,100,7,100,100,100,100,8,3,7,100,100,3
76,100,100,100,7,100,100,100,100,8,3,7,100,100,3
77,100,100,100,7,100,100,100,100,8,3,7,100,100,3
78,100,100,100,8,100,100,100,100,8,3,7,100,100,3
79,100,100,100,8,100,100,100,100,8,3,7,100,100,3
80,100,100,100,8,100,100,100,100,9,3,7,100,100,3
81,100,100,100,8,100,100,100,100,9,3,7,100,100,3
82,100,100,100,8,100,100,100,100,9,3,7,100,100,3
83,100,100,100,8,100,100,100,100,9,3,8,100,100,3
84,100,100,100,8,100,100,100,100,10,3,8,100,100,3
85,100,100,100,8,100,100,100,100,10,3,9,100,100,3
86,100,100,100,8,100,100,100,100,10,3,9,100,100,3
87,100,100,100,8,100,100,100,100,10,3,10,100,100,3
88,100,100,100,8,100,100,100,100,10,3,11,100,100,3
89,100,100,100,8,100,100,100,100,10,3,11,100,100,3
90,100,100,100,8,100,100,100,100,10,3,11,100,100,4
91,100,100,100,8,100,100,100,100,10,4,11,100,100,4
92,100,100,100,8,100,100,100,100,10,4,11,100,100,4
93,100,100,100,8,100,100,100,100,10,4,11,100,100,4
94,100,100,100,8,100,100,100,100,11,4,11,100,100,4
95,100,100,100,8,100,100,100,100,11,4,11,100,100,5
96,100,100,100,8,100,100,100,100,11,4,11,100,100,6
97,100,100,100,8,100,100,100,100,11,4,11,100,100,6
98,100,100,100,8,100,100,100,100,11,4,11,100,100,6
99,100,100,100,8,100,100,100,100,12,4,11,100,100,6
100,100,100,100,8,100,100,100,100,12,4,11,100,100,7
