,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,2,1,1,1,1,1
3,1,1,1,1,1,1,1,1,2,1,1,1,1,1
4,1,1,1,1,1,2,1,1,2,1,1,1,1,1
5,1,1,1,1,1,2,1,1,2,1,1,1,1,1
6,2,1,1,1,1,2,1,1,2,1,1,1,1,1
7,3,1,1,1,1,2,1,1,2,1,1,1,1,1
8,3,1,1,1,1,2,1,1,2,1,1,1,1,1
9,3,1,1,1,1,2,1,1,2,1,1,1,2,1
10,3,1,1,1,1,2,1,1,2,1,1,1,2,1
11,3,1,1,2,1,2,1,1,2,1,1,1,2,1
12,3,1,1,2,1,2,1,1,2,1,1,1,2,1
13,3,1,1,2,1,2,1,1,2,1,1,1,2,1
14,3,1,1,3,1,2,1,1,2,1,1,1,2,1
15,3,1,1,3,1,2,1,1,2,1,1,1,2,1
16,4,1,1,3,1,2,1,1,2,1,1,1,2,1
17,4,1,1,3,1,2,1,1,2,1,1,1,2,1
18,4,1,1,3,1,2,1,1,2,1,1,1,2,1
19,4,1,1,3,1,2,1,1,2,1,1,1,2,1
20,4,1,1,3,1,2,1,1,2,1,1,1,2,1
21,4,1,1,3,2,2,1,1,2,1,1,1,2,1
22,5,1,1,3,2,2,1,1,2,1,1,1,2,1
23,5,1,1,3,2,2,1,1,2,1,1,1,2,1
24,6,1,1,3,2,2,1,1,2,1,1,1,2,1
25,6,1,1,3,2,2,1,1,2,1,1,1,3,1
26,6,1,1,3,2,2,1,1,2,1,1,1,3,1
27,6,1,1,3,2,2,1,1,2,1,1,1,4,1
28,6,1,1,3,2,2,1,1,2,1,1,1,4,1
29,6,1,1,3,2,2,1,1,2,1,1,1,4,1
30,6,1,1,3,2,2,1,1,2,2,1,1,4,1
31,6,1,1,3,2,2,1,1,2,2,1,1,4,1
32,6,1,1,3,2,2,1,1,2,2,1,1,4,1
33,6,1,1,3,2,2,1,1,2,2,1,1,4,1
34,6,1,1,3,2,2,1,1,2,3,1,1,4,1
35,6,1,1,3,2,2,1,1,2,3,1,1,4,1
36,6,1,1,4,2,2,1,1,2,3,1,1,4,1
37,6,1,1,4,2,2,1,1,2,4,1,1,4,1
38,6,1,1,4,2,2,1,1,2,4,1,1,4,1
39,6,1,1,4,2,2,1,1,2,4,1,1,4,1
40,6,2,1,4,2,2,1,1,2,4,1,1,4,1
41,6,2,1,4,2,2,1,1,2,5,1,1,4,1
42,6,2,1,4,2,2,1,1,2,5,1,1,4,1
43,6,2,1,4,2,2,1,1,2,6,1,1,4,1
44,6,2,1,4,2,2,1,1,2,6,1,1,4,1
45,6,2,1,4,2,2,1,1,2,7,1,1,4,1
46,6,2,1,4,2,2,1,1,2,7,1,1,4,1
47,6,2,1,4,2,2,1,1,2,8,1,1,4,1
48,6,2,1,5,2,2,1,1,2,8,1,1,4,1
49,6,2,1,5,2,2,1,1,2,8,1,1,4,1
50,6,2,1,5,2,2,1,1,2,9,1,1,4,1
51,6,2,1,6,2,2,1,1,2,9,1,1,4,1
52,6,2,1,6,2,2,1,1,2,9,1,1,4,1
53,6,2,1,6,2,2,1,1,2,9,1,1,4,1
54,6,2,1,6,2,2,1,2,2,9,1,1,4,1
55,6,2,1,6,2,2,1,2,2,9,1,1,4,1
56,6,2,1,6,2,2,1,2,2,10,1,1,4,1
57,6,2,1,6,2,2,1,2,2,11,1,1,4,1
58,6,2,1,6,2,2,1,2,2,11,1,1,4,1
59,6,2,1,6,2,2,1,2,2,12,1,1,4,1
60,6,2,1,6,2,2,1,2,2,13,1,1,4,1
61,6,2,1,6,2,2,1,2,2,13,1,1,4,1
62,6,2,1,7,2,2,1,2,2,13,1,1,4,1
63,6,2,1,7,2,2,1,2,2,14,1,1,4,1
64,6,2,1,7,2,2,1,2,2,14,1,1,4,1
65,6,2,1,7,2,2,1,2,2,15,1,1,4,1
66,6,2,1,7,2,2,1,2,2,16,1,1,4,1
67,6,2,1,7,2,2,1,2,2,16,1,1,4,1
68,6,2,1,7,2,2,1,2,2,17,1,1,4,1
69,6,2,1,7,2,2,1,2,2,18,1,1,4,1
70,6,2,1,7,2,2,1,2,2,18,1,1,4,1
71,6,2,1,7,2,2,1,2,2,18,1,1,4,1
72,6,2,1,7,2,2,1,2,2,19,1,1,4,1
73,6,2,1,7,2,2,1,2,2,20,1,1,4,1
74,6,2,1,7,2,2,1,2,2,20,1,1,4,1
75,6,2,1,7,2,2,1,2,2,20,1,1,4,1
76,6,2,1,7,2,2,1,2,2,21,1,1,4,1
77,6,2,1,7,2,2,1,2,2,21,1,1,4,1
78,6,2,1,7,2,2,1,2,2,22,1,1,4,1
79,6,2,1,7,2,2,1,2,2,22,1,1,4,1
80,6,2,1,7,2,2,1,2,2,23,1,1,4,1
81,6,2,1,7,2,2,1,2,2,23,1,1,4,1
82,6,2,1,7,2,2,1,2,2,23,1,1,4,1
83,6,2,1,7,2,2,1,2,2,24,1,1,4,1
84,6,2,1,7,2,2,1,2,2,24,1,1,4,1
85,6,2,1,8,2,2,1,2,2,24,1,1,4,1
86,6,2,1,8,2,2,1,2,2,24,1,1,4,1
87,6,2,1,8,2,2,1,2,2,25,1,1,4,1
88,6,2,1,8,2,2,1,2,2,25,1,1,4,1
89,6,2,1,8,2,2,1,2,2,26,1,1,4,1
90,6,2,1,8,2,2,1,2,2,26,1,1,4,1
91,6,2,1,8,2,2,1,2,2,27,1,1,4,1
92,6,2,1,8,2,2,1,2,2,28,1,1,4,1
93,6,2,1,8,2,2,1,2,2,28,1,1,4,1
94,6,2,1,8,2,2,1,2,2,28,1,1,4,1
95,6,2,1,8,2,2,1,2,2,28,1,1,4,1
96,6,2,1,8,2,2,1,2,2,28,1,1,5,1
97,6,2,1,9,2,2,1,2,2,28,1,1,5,1
98,6,2,1,9,2,2,1,2,2,28,1,1,5,1
99,6,2,1,9,2,2,1,2,2,29,1,1,5,1
100,6,2,1,9,2,2,1,2,2,29,1,1,5,1
